rank	headword	en	pos	group	nl
869	cōnsūmō -sūmere -sūmpsī -sūmptum	to use up, consume	Verb: 3rd Conjugation -ō	Life and Being	verbruiken, opgebruiken
870	corrumpō -rumpere -rūpī -ruptum	break up, destroy, ruin	Verb: 3rd Conjugation -ō	Violence	bederven, vernietigen, omkopen
871	incidō incidere incidī	fall upon, fall into; happen	Verb: 3rd Conjugation -ō	Motion	vallen in, terechtkomen in; gebeuren
872	paulō, paulum	to only a small extent, slightly, a little	Adverb	Measurement	een beetje, iets
873	hospes hospitis m.	guest, guest-friend; stranger; host	Noun: 3rd Declension	Social Life	gast, gastvriend; vreemdeling; gastheer
874	rīdeō -ēre rīsī rīsum	laugh, laugh at	Verb: 2nd Conjugation	Emotions	lachen, uitlachen
875	aevum -ī n.	eternity; lifetime, age	Noun: 2nd Declension	Lengths of Time	tijd, leeftijd, eeuwigheid
876	audāx audācis	bold, daring; reckless	Adjective: 3rd Declension	Personality Traits/Characteristics	stoutmoedig, vermetel, driest
877	posterus -a -um	next, later	Adjective: 1st and 2nd Declension	Time	volgend, later; posteri: nakomelingen
878	praetor -ōris m.	praetor, one of the chief Roman magistrates	Noun: 3rd Declension	The City	praetor
879	rūs rūris n.	country	Noun: 3rd Declension	Geography	platteland
880	differō differre distulī dīlātum	scatter; publish, divulge; differ; defer, postpone	Verb: Irregular	Making/Doing	verschillen; uitstellen; verspreiden
881	vītō -āre	avoid, shun	Verb: 1st Conjugation	Social Life	vermijden, ontwijken
882	prīvātus -a -um	personal, private	Adjective: 1st and 2nd Declension	Social Life	persoonlijk, particulier; privatus: burger
883	serviō -īre	be a slave, serve (+ dat.)	Verb: 4th Conjugation	The Household	dienen, slaaf zijn (+ dat.)
884	vereor verērī veritus sum	fear, stand in awe of	Verb: Deponent	Emotions	vrezen, ontzag hebben voor
885	ingredior -gredī -gressus sum:	step in, enter	Verb: Deponent	Motion	binnengaan, betreden; beginnen
886	addūcō -ere -dūxī -ductum	lead to, induce	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	brengen naar, ertoe brengen
887	hortor hortārī hortātus sum	urge strongly, advise, exhort	Verb: Deponent	Speech/Oratory	aansporen, aanmoedigen
888	reus -ī m.	defendant	Noun: 2nd Declension	Justice	beschuldigde, aangeklaagde
889	scīlicet	certainly, of course	Adverb	Conjunctions/Adverbs	natuurlijk, uiteraard
890	comparō -āre	get ready, provide; compare	Verb: 1st Conjugation	Business/Money	voorbereiden, verwerven; vergelijken
891	perpetuus -a -um	unbroken, perpetual	Adjective: 1st and 2nd Declension	Lengths of Time	voortdurend, onafgebroken, eeuwig
892	dēsīderō -āre	long for, desire greatly	Verb: 1st Conjugation	Love	verlangen naar, missen
893	celebrō -āre	frequent, throng, crowd	Verb: 1st Conjugation	The City	druk bezoeken; vieren, prijzen
894	cōnficiō -ficere -fēcī -fectum	complete, accomplish; destroy, kill, consume	Verb: 3rd Conjugation -iō	Violence	voltooien, afwerken; uitputten, doden
895	intendō -tendere -tendī -tentum:	stretch out, strain	Verb: 3rd Conjugation -ō	Motion	spannen, richten
896	iūrō -āre	take an oath, swear; iūs iūrandum, oath	Verb: 1st Conjugation	Justice	zweren; ius iurandum: eed
897	sōlum	only, merely	Adverb	Measurement	alleen, slechts
898	auctōritās -ātis f.	influence, clout, authority	Noun: 3rd Declension	Social Life	gezag, invloed, aanzien
899	iaciō iacere iēcī iactum	throw, hurl	Verb: 3rd Conjugation -iō	Athletics	werpen, gooien
900	labōrō -āre	toil, work; be in trouble or distress	Verb: 1st Conjugation	Business/Money	werken, zwoegen; in nood zijn
901	liber librī m.	book	Noun: 2nd Declension	Writing/Poetry	boek
902	lūna -ae f.	moon	Noun: 1st Declension	Air and Fire	maan
903	prōtinus	at once, forthwith	Adverb	Time	onmiddellijk, meteen
904	aequē	equally	Adverb	Justice	evenzeer, even
905	cōnor cōnārī cōnātus sum	try, attempt	Verb: Deponent	Making/Doing	proberen, pogen
906	cupīdō -inis f.	desire, eagerness, craving	Noun: 3rd Declension	Love	verlangen, begeerte
907	ferē	almost	Adverb	Conjunctions/Adverbs	bijna, ongeveer
908	īnsula -ae f.:	island	Noun: 1st Declension	Geography	eiland
909	fīlia -ae f.; fīlius -ī m.	daughter; son	Noun: 1st Declension	The Household	dochter; zoon
910	narrō -āre	relate, recount	Verb: 1st Conjugation	Speech/Oratory	vertellen
911	necessitās -tātis f.	necessity, need	Noun: 3rd Declension	Business/Money	noodzaak, nood
912	ēgredior ēgredī ēgressus sum	stride out, depart, disembark from (+ abl.)	Verb: Deponent	Travel	naar buiten gaan, uitgaan; ontschepen
913	poēta -ae m.	poet	Noun: 1st Declension	Writing/Poetry	dichter
914	decem	ten	Adjective: Numeral	Measurement	tien
915	amplus -a -um	large, spacious	Adjective: 1st and 2nd Declension	Measurement	ruim, groot; aanzienlijk
916	aptus -a -um	fit, suitable	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	geschikt, passend
917	cōnsequor -sequī -secūtus sum	follow up, overtake, attain	Verb: Deponent	Motion	volgen, inhalen, bereiken
918	frequēns -ntis	in large numbers, often	Adjective: 3rd Declension	Measurement	talrijk, druk bezocht; vaak
919	nūntius -ī m.	messenger; news	Noun: 2nd Declension	Travel	bode, boodschapper; bericht
920	condīciō -ōnis f.	agreement, condition	Noun: 3rd Declension	Business/Money	voorwaarde, overeenkomst; toestand
921	convīvium -iī n.	banquet, feast	Noun: 2nd Declension	Social Life	feestmaal, banket
922	foedus -a -um	foul	Adjective: 1st and 2nd Declension	Other Senses	lelijk, afschuwelijk, schandelijk
923	fruor fruī frūctus sum	enjoy the produce of, profit by, use (+ abl.)	Verb: Deponent	Emotions	genieten van (+ abl.)
924	num	interrogative particle implying negative answer	Adverb	Pronouns/Interrogatives	toch niet? (vraagpartikel, antwoord 'nee')
925	albus -a -um	white	Adjective: 1st and 2nd Declension	Vision	wit
926	damnum -ī n.	damage, injury	Noun: 2nd Declension	Violence	schade, verlies
927	frūctus -ūs m.	fruit, crops; enjoyment, delight	Noun: 4th Declension	Animals/Plants	vrucht, opbrengst; genot
928	cēnseō cēnsēre cēnsuī cēnsum	assess, rate; think, decide	Verb: 2nd Conjugation	Education/Knowledge	schatten; menen, van oordeel zijn
929	prōdō prōdere prōdidī prōditum	publish, hand down; give over, betray	Verb: 3rd Conjugation -ō	Verbs of Transport	verraden; overleveren; bekendmaken
930	prōpōnō -pōnere -posuī -positum	put forth, propose, present	Verb: 3rd Conjugation -ō	Speech/Oratory	voorstellen, voorleggen
931	īnstituō -stituere -stituī -stitūtum:	undertake; equip	Verb: 3rd Conjugation -ō	Making/Doing	oprichten, instellen; beginnen; onderwijzen
932	item	likewise	Adverb	Conjunctions/Adverbs	eveneens, evenzo
933	magister magistrī m.	master, chief	Noun: 2nd Declension	Education/Knowledge	meester, leraar; leider
934	stella -ae f.	star	Noun: 1st Declension	Air and Fire	ster
935	ēdūcō -dūcere -dūxī -ductum	lead forth	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	naar buiten leiden
936	frūmentum -ī n.	grain	Noun: 2nd Declension	Animals/Plants	graan, koren
937	suscipiō -cipere -cēpī ceptum	take up	Verb: 3rd Conjugation -iō	Verbs of Transport	op zich nemen, ondernemen
938	quasi	as if	Adverb	Conjunctions/Adverbs	alsof, als het ware
939	sacerdōs -dōtis m./f.	priest, priestess	Noun: 3rd Declension	Religion	priester, priesteres
940	vīcīnus -a -um	neighboring, near	Adjective: 1st and 2nd Declension	Geography	naburig; buurman
941	caveō cavēre cāvī cautum	be on guard, beware	Verb: 2nd Conjugation	Violence	oppassen, zich hoeden voor
942	ēligō ēligere ēlēgī ēlēctum	pick out, select	Verb: 3rd Conjugation -ō	The City	uitkiezen
943	familia -ae f.	household, family	Noun: 1st Declension	The Household	huisgezin, familie
944	paene	almost	Adverb	Conjunctions/Adverbs	bijna
945	praecipiō -cipere -cēpī -ceptum	anticipate, advise, warn	Verb: 3rd Conjugation -iō	Speech/Oratory	voorschrijven, aanraden; vooraf nemen
946	sānus -a -um	sound, sane	Adjective: 1st and 2nd Declension	Life and Being	gezond
947	potis -e	powerful, able	Adjective: 3rd Declension	Personality Traits/Characteristics	machtig, in staat
948	prīncipium -ī n.	beginning	Noun: 2nd Declension	Time	begin
949	sepulcrum -ī n.	place of burial, tomb, grave	Noun: 2nd Declension	Life and Being	graf
950	mortālis -e	liable to death, mortal; (as subst.) a mortal	Adjective: 3rd Declension	Life and Being	sterfelijk; sterveling
951	epistula -ae f.	letter	Noun: 1st Declension	Writing/Poetry	brief
952	inimīcus -a -um:	unfriendly; (as subst.) enemy	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	vijandig; vijand
953	interrogō -āre	put a question to, ask (+ acc.)	Verb: 1st Conjugation	Speech/Oratory	vragen, ondervragen
954	cōnsuētūdo -inis f.	custom, habit	Noun: 3rd Declension	Personality Traits/Characteristics	gewoonte
955	illūc	to that place	Adverb	Place	daarheen
956	dīgnitās -ātis f.	worth, reputation, honor	Noun: 3rd Declension	Personality Traits/Characteristics	waardigheid, aanzien
957	fugō -āre	put to flight	Verb: 1st Conjugation	Travel	op de vlucht jagen
958	afficiō -ficere -fēcī -fectum	affect, visit with (+ abl.)	Verb: 3rd Conjugation -iō	Social Life	treffen, vervullen met (+ abl.)
959	adhibeō -hibēre -hibuī -hibitum	apply	Verb: 2nd Conjugation	Making/Doing	aanwenden, gebruiken
960	caelestis -e	from or of heaven; caelestēs, the gods	Adjective: 3rd Declension	Air and Fire	hemels; caelestes: de goden
961	mulier -eris f.	woman	Noun: 3rd Declension	People	vrouw
962	dīvus -a -um	divine, godlike; (as subst.) a god	Adjective: 1st and 2nd Declension	Religion	goddelijk; god
963	arbitror arbitrārī arbitrātus sum	consider, think	Verb: Deponent	Education/Knowledge	menen, oordelen
964	posteā	afterwards	Adverb	Time	later, daarna
965	aedēs -is f.	building; (pl.) house	Noun: 3rd Declension	The House	tempel; aedes: huis
966	fābula -ae f.	account, tale, story	Noun: 1st Declension	Writing/Poetry	verhaal, fabel
967	celeriter	quickly	Adverb	Time	snel
968	plērus- plēra- plērumque	the greater part, very many, most, the majority	Adjective: 1st and 2nd Declension	Measurement	de meeste, het merendeel
969	quiēscō quiēscere quiēvī quiētum	keep quiet; sleep	Verb: 3rd Conjugation -ō	Life and Being	rusten, slapen
970	quotiēns	interr. how many times? how often? rel. as often as, whenever	Adverb	Pronouns/Interrogatives	hoe vaak?; zo vaak als
971	scientia -ae f.	knowledge	Noun: 1st Declension	Education/Knowledge	kennis, wetenschap
972	cōnfiteor cōnfitērī cōnfessus sum	admit (a fact), confess (a crime); reveal, disclose	Verb: Deponent	Justice	bekennen, toegeven
973	dīligō -ligere -lēxī -lēctum	choose, cherish, love	Verb: 3rd Conjugation -ō	Love	beminnen, hoogachten
974	plērumque	generally	Adverb	Measurement	meestal
975	dormiō -īre	sleep	Verb: 4th Conjugation	Life and Being	slapen
976	volucris -is f./m.	bird	Noun: 3rd Declension	Animals/Plants	vogel
977	volucer -cris -cre	flying	Adjective: 3rd Declension	Animals/Plants	gevleugeld, vliegend
978	creō -āre	produce, create; elect, choose	Verb: 1st Conjugation	Making/Doing	scheppen, voortbrengen; verkiezen
979	fidēlis -e	faithful	Adjective: 3rd Declension	Personality Traits/Characteristics	trouw
980	indicō -āre	point out, show, make known	Verb: 1st Conjugation	Speech/Oratory	aanwijzen, bekendmaken
981	hodiē	today	Adverb	Lengths of Time	vandaag
982	disciplīna -ae f.	training, instruction; learning, discipline	Noun: 1st Declension	Education/Knowledge	onderwijs, opleiding; tucht
983	vērē	truly	Adverb	Speech/Oratory	echt, waarlijk
984	aegrē	with difficulty	Adverb	Life and Being	met moeite, nauwelijks
985	fore		Verb: Irregular	Life and Being	zullen zijn (= futurum esse)
986	advertō -vertere -vertī -versum	turn towards	Verb: 3rd Conjugation -ō	Motion	toewenden; animum advertere: opmerken
987	adveniō -īre -vēnī -ventum	come to, arrive at	Verb: 4th Conjugation	Travel	aankomen, komen naar
988	pendō pendere pependī pēnsum	weigh, hang, suspend; pay	Verb: 3rd Conjugation -ō	Business/Money	wegen; betalen; ophangen
989	studeō -ēre -uī	be eager, be zealous, care for (+ dat.)	Verb: 2nd Conjugation	Emotions	ijverig zijn, streven naar (+ dat.); studeren
990	ascendō -ere -scendī -scēnsum	climb up, ascend	Verb: 3rd Conjugation -ō	Travel	opklimmen, beklimmen
991	vulgō	commonly	Adverb	The City	algemeen, overal
992	breviter	briefly	Adverb	Measurement	kort, in het kort
993	fors fortis f.	chance	Noun: 3rd Declension	Religion	toeval, lot
994	fēlīciter	luckily	Adverb	Personality Traits/Characteristics	gelukkig, met succes
995	revertō -vertere -vertī	turn back	Verb: 3rd Conjugation -ō	Motion	terugkeren, omkeren
996	ēdīcō -dīcere -dīxī -dictum	declare	Verb: 3rd Conjugation -ō	Speech/Oratory	bekendmaken, afkondigen
997	mundus -a -um	clean, neat, elegant	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	net, proper, elegant
